restaurant_name,city,state,address,description,cuisine_type,head_chef_or_lead,website
Mr. Baan’s Bar and Mookata,Phoenix,AZ,"218 E Portland St #B, Phoenix, AZ 85004","Mr. Baan’s Bar and Mookata offers a vibrant atmosphere where guests can enjoy an authentic Thai barbecue experience, complete with charcoal grilling. The restaurant pairs its mouthwatering cuisine with an eclectic selection of unique cocktails and wines.",Thai,"Alex Martin, Yotaka ""Sunny"" Martin",https://www.mrbaans.com/
Fikscue,Alameda,CA,"1708 Park St Ste 120, Alameda, CA 94501","Fikscue is a vibrant Indonesian-Texan barbecue restaurant that creatively blends smoky Texas-style barbecue with rich Indonesian flavors, providing a unique dining experience. The atmosphere is casual yet lively, perfect for enjoying their standout smoked halal barbecue meats and inventive culinary offerings.",Indo-Tex,"Fik Saleh, Reka Saleh",https://www.fikscue.com/
Azizam,Los Angeles,CA,"2943 W Sunset Blvd, Los Angeles, CA 90026","Azizam is a cozy Persian eatery nestled in Silver Lake, Los Angeles, offering a delightful array of homestyle dishes inspired by family recipes. With vibrant appetizers and comforting stews, the restaurant provides a warm atmosphere that celebrates traditional Persian flavors.",Persian,Cody Ma,https://www.azizamla.com/
Camélia,Los Angeles,CA,"1850 Industrial St, Los Angeles, CA 90021","Camélia is a charming French-Japanese bistro in Los Angeles' Arts District, offering a unique fusion of flavors in an intimate setting. The restaurant combines vibrant, artistic decor with a warm atmosphere, making it an inviting spot for casual dining.",French-Japanese,Charles Namba and Courtney Kaplan,https://cameliadtla.com/
Four Kings,San Francisco,CA,"710 Commercial St, San Francisco, CA 94108","Four Kings offers a cozy bar ambiance where guests can enjoy a selection of Hong Kong-inspired small plates, perfect for sharing and savoring in a relaxed setting.",Cantonese,Franky Ho and Mike Long,https://www.itsfourkings.com/
Quince,San Francisco,CA,"470 Pacific Ave, San Francisco, CA 94133","Quince Restaurant offers a sophisticated dining experience with Californian contemporary cuisine infused with Italian influences, presenting nightly-changing tasting menus. The ambiance reflects elegance and refinement, contributing to its prestigious three-star rating from the MICHELIN Guide USA.","Italian, New American",Michael Tusk,https://www.quincerestaurant.com/
Sap Sua,Denver,CO,"2550 E Colfax Ave, Denver, CO 80206","Sap Sua offers a unique twist on traditional Vietnamese cuisine, featuring vibrant flavors and creative dishes in a modern and inviting atmosphere perfect for casual dining.",Vietnamese,Tuan “Ni” Nguyen,https://www.sapsua.com/
Yuan Wonton,Denver,CO,"2878 Fairfax St, Denver, CO 80220","Yuan Wonton is a vibrant dumpling eatery in Denver, Colorado, known for its handcrafted dumplings and inviting shared space that fosters collaboration with local food artisans. With a casual and warm atmosphere, this brick-and-mortar establishment brings a unique blend of creativity and community to the dining experience.","Chinese, Cantonese",Penelope Wong,https://www.instagram.com/yuanwonton/
Meander Eatery,Pagosa Springs,CO,"358 E Pagosa St, Pagosa Springs, CO 81147",Meander Riverside Eatery offers an upscale farm-to-table dining experience with a focus on locally sourced ingredients. The restaurant's refined yet casual atmosphere is complemented by its picturesque riverside location.,New American,Justin Jacobs,https://www.meandereatery.com/
The Shipwright’s Daughter,Mystic,CT,"20 E Main St, Mystic, CT 06355","The Shipwright's Daughter in Mystic, Connecticut, features a cozy atmosphere complemented by its focus on New American cuisine, showcasing sustainable seafood through a frequently changing menu curated by Executive Chef David Standridge.",New American,David Standridge,https://www.shipwrightsdaughter.com/
